10621932/619632113944399872: 890267965/619560380831039488
468531094/619631675102875648: 468531094/None
480761560/619631653791641602: 244672046/619631444739031040
1548043820/619631570228506624: 621583/None
19455101/619631415269851136: 811377/None
21136618/619631222910812164: 2735591/619630069410103296
38574431/619631193953337344: 21144720/None
47042550/619631178199339009: 155774437/619630279230099456
581835263/619630974175985665: 2472399354/None
216798355/619630891946545153: 20137674/None
1909377728/619630782160719872: 2890009152/619630290634276864
11461102/619630707351031808: 5392522/619628954165510144
2340949890/619630633510252544: 106177076/None
300632621/619630572437131264: 17592436/None
632440780/619630490924900352: 724915740/None
509575447/619630481131180032: 724915740/None
591390265/619630342681444352: 149913262/619629378662612992
161038571/619630253695217667: 149913262/619621028407345152
1525868310/619629863670935552: 14202817/None
2614376472/619629787678703617: 811377/None
2862243052/619629487089709056: 18522848/619628542964297728
34447217/619629464918454272: 34447217/619629174437756928
16337999/619629447516307456: 189305014/619629347994009601
1118248824/619629243731939329: 2472399354/619628499222036484
144320363/619629240116359168: 2314476086/None
18767951/619629176358834176: 5392522/619628954165510144
34447217/619629174437756928: 34447217/619625600811012097
30303706/619629148969918464: 21094279/None
1467962250/619629071102640128: 2147681894/None
260519290/619628815384485888: 128711336/619624013430525952
9681052/619628742739005440: 255249826/619628578980806656
295174950/619628595208564736: 295174950/None
2862243052/619628559859105792: 13986572/619627902271922176
211337437/619628325112143872: 28785486/619626804282830848
221135546/619628075454590976: 30261067/619621406146433025
16328049/619628023797690369: 23033882/619617320931975168
369318439/619627997067264000: 30261067/619627738471759872
2512913730/619627599577370628: 284233472/None
2862243052/619627441607319552: 2363290915/619626703053287424
13461/619627313840328705: 13461/619626148704579584
38743751/619627080200749056: 110755266/619622797258719233
3069073222/619627003881365504: 35623/619623567035011072
2862243052/619626975360102400: 35623/619623567035011072
34399757/619626962521186304: 19911886/None
2998725343/619626867377606656: 213169226/619625741773357056
14272347/619626800637997056: 5763262/619626082464067584
1466274925/619626618814771200: 1468580785/None
1118248824/619626608656302080: 114684274/619626137472397314
338120406/619626119965208576: 14478614/619622509395210240
29157656/619626045097033729: 8936082/None
274668552/619625959084441601: 2496769969/None
1069116314/619625953006743552: 1069116314/619625708239785984
2862243052/619625823411273728: 66176548/619625280919990273
